1,00040,3
1,00021,6
1,00019,7
2,00004,7
2,00044,3
2,00035,3
3,00005,10
3,00032,9
3,00019,8
4,00034,5
4,00033,4
4,00047,9
4,00009,10
5,00038,5
5,00020,5
5,00043,3
5,00022,2
6,00024,1
6,00028,1
6,00025,9
6,00003,1
7,00039,2
7,00044,7
7,00050,5
7,00038,8
8,00026,4
8,00019,6
8,00025,7
9,00017,5
9,00012,7
9,00037,6
10,00011,10
10,00033,5
10,00014,8
11,00048,1
11,00049,6
11,00001,3
11,00022,8
12,00023,4
12,00031,10
12,00005,9
12,00018,8
13,00003,7
13,00043,7
13,00037,5
14,00013,7
14,00008,2
14,00030,10
15,00015,2
15,00005,3
15,00050,5
16,00007,4
16,00042,4
16,00016,9
17,00042,1
17,00041,7
17,00027,2
17,00044,9
18,00048,10
18,00026,10
18,00002,9
19,00033,2
19,00012,10
19,00019,8
20,00041,9
20,00045,8
20,00030,6
21,00034,3
21,00033,10
21,00045,1
21,00016,1
22,00007,8
22,00049,6
22,00008,1
23,00041,4
23,00017,6
23,00018,6
24,00001,8
24,00005,2
24,00035,6
25,00009,8
25,00041,8
25,00003,3
26,00010,5
26,00039,10
26,00036,4
27,00028,9
27,00030,5
27,00024,7
28,00010,3
28,00014,10
28,00048,4
29,00010,7
29,00032,10
29,00012,8
29,00047,4
30,00039,3
30,00013,4
30,00002,4
30,00009,4
33,00004,4
44,00045,4
40,00047,9
39,00020,3
56,00037,10
60,00037,10
54,00022,4
39,00044,4
38,00028,5
35,00017,7
42,00046,6
37,00007,4
48,00029,6
51,00023,2
38,00021,1
57,00045,2
57,00040,4
47,00014,8
58,00019,9
60,00049,3
33,00038,5
52,00027,1
49,00028,6
60,00042,2
42,00044,5
47,00028,5
51,00030,4
52,00014,2
50,00023,1
44,00044,4
39,00034,10
56,00040,3
57,00031,7
46,00003,6
60,00009,1
59,00017,7
55,00006,6
40,00031,8
36,00040,3
40,00007,2
51,00008,5
60,00049,3
38,00009,5
33,00031,3
37,00001,7
58,00031,9
42,00037,3
46,00012,10
43,00027,6
60,00035,9
60,00008,9
54,00024,7
42,00049,10
38,00013,6
42,00003,2
44,00042,10
45,00028,7
51,00050,8
39,00034,1
44,00023,3
47,00036,7
38,00014,8
38,00012,2
50,00026,9
32,00001,2
48,00036,4
48,00010,8
40,00008,8
49,00019,5
54,00014,3
47,00022,7
57,00027,5
32,00006,3
51,00047,10
38,00037,6
48,00005,2
58,00034,5
46,00036,9
44,00027,4
48,00001,4
37,00028,1
38,00039,7
38,00040,6
36,00010,5
57,00028,3
41,00044,5
55,00020,6
34,00021,1
42,00037,9
48,00018,8
59,00044,1
60,00005,4
31,00048,3
51,00031,5
39,00042,9
52,00038,2
42,00035,1
53,00007,6
51,00032,3
33,00031,7
64,00028,4
58,00009,2
49,00010,1
56,00047,10
76,00024,7
42,00033,4
74,00036,2
45,00033,10
51,00002,8
70,00047,4
46,00023,8
58,00018,6
77,00021,10
53,00025,2
62,00041,2
50,00008,9
75,00017,3
70,00039,3
80,00008,2
59,00020,9
78,00035,4
71,00026,4
55,00050,3
61,00038,8
57,00041,7
42,00033,9
45,00006,8
55,00031,5
47,00023,9
62,00045,4
66,00035,6
71,00024,3
68,00048,8
51,00037,1
79,00009,5
56,00017,4
42,00044,3
63,00007,8
67,00045,9
54,00016,3
79,00014,6
61,00048,3
73,00036,8
78,00002,3
58,00025,1
77,00023,1
44,00035,2
66,00002,9
64,00018,8
46,00013,9
41,00012,3
48,00023,3
62,00033,5
72,00049,2
72,00037,7
50,00011,2
77,00030,2
54,00016,9
62,00034,8
65,00019,7
58,00023,3
72,00003,6
50,00038,8
60,00046,3
80,00046,8
61,00038,6
65,00046,10
61,00001,7
43,00003,3
64,00042,1
65,00035,3
51,00010,7
51,00047,7
41,00044,4
71,00002,10
42,00015,6
74,00008,2
68,00018,9
62,00033,9
63,00038,2
43,00016,6
62,00012,1
69,00001,5
56,00013,8
57,00037,10
75,00039,8
74,00017,6
73,00040,3
55,00010,8
52,00014,2
65,00025,1
74,00029,1
50,00023,1
62,00038,1
52,00004,8
76,00023,4
73,00050,1
78,00038,6
61,00024,10
51,00013,9
61,00039,1
61,00038,1
61,00046,2
62,00049,1
62,00050,1
63,00035,3
64,00016,1
64,00015,2
65,00005,1
65,00014,1
65,00017,4
66,00041,1
66,00040,1
66,00026,1
66,00007,1
67,00034,2
68,00042,5
69,00027,3
69,00033,1
70,00015,6
70,00012,5
71,00025,2
71,00008,2
71,00002,1
71,00037,1
71,00044,1
71,00021,2
71,00023,1
72,00031,1
73,00006,1
74,00019,2
74,00018,1
74,00015,1
75,00013,1
75,00001,1
76,00010,1
77,00022,1
78,00020,1
78,00031,1
79,00036,3
79,00003,2
79,00045,1
80,00048,1
81,00023,1
82,00011,1
83,00012,1
83,00011,1
84,00028,1
84,00029,3
85,00009,2
86,00004,1
86,00027,2
86,00016,1
86,00030,1
87,00004,1
88,00004,1
89,00036,4
89,00024,1
90,00016,1
90,00030,1
